query_id,fenomeno,tipo,result_found,ndcg_at_10,f1_at_3,precision_at_3,recall_at_3,predicted_sources,relevant_sources,overlap_sources,unresolved_doc_ids
qa001,1,cross_lingual,True,0.0,0.5,0.3333333333333333,1.0,AIINDEX_ai-index-report-2024.pdf | AIINDEX_ai-index-2025-ch2-technical-performance.pdf | AIINDEX_ai-index-2025-chinese-version.pdf,AIINDEX_ai-index-report-2024.pdf,AIINDEX_ai-index-report-2024.pdf,
qa002,1,numerico,True,1.0,0.5,0.3333333333333333,1.0,RUTAN_informe-geial-latam.pdf,RUTAN_informe-geial-latam.pdf,RUTAN_informe-geial-latam.pdf,
qa003,1,numerico,True,1.0,0.5,0.3333333333333333,1.0,AIINDEX_ai-index-report-2024.pdf | AIINDEX_ai-index-report-2025.pdf | AIINDEX_ai-index-2025-ch6-education.pdf,AIINDEX_ai-index-report-2024.pdf,AIINDEX_ai-index-report-2024.pdf,
qa004,1,estandar,True,0.38685280723454163,0.5,0.3333333333333333,1.0,RUTAN_informe-geial-latam.pdf | CSIS_bills-115hr2810eh.pdf | AIINDEX_pubmed-computer-vision-csv,RUTAN_informe-geial-latam.pdf,RUTAN_informe-geial-latam.pdf,
qa005,1,multi_documento,True,0.0,0.0,0.0,0.0,AIINDEX_ai-index-2025-chinese-version.pdf | AIINDEX_ai-index-2025-ch4-economy.pdf | CSIS_2024-05-15-2024-priorities-for-the-intelligence-community.json,AIINDEX_ai-index-report-2024.pdf | AIINDEX_ai-index-report-2025.pdf,,
qa006,2,cross_lingual,True,0.0,0.5,0.3333333333333333,1.0,SWF_investimento-respons-vel-no-setor-espacial.pdf | ESA_space-environment-report-i9r0-20250331.pdf | SWF_12-2-portuguese-translation-responsible-investment-in-the-space-sector-a-guide-to-stew.json,SWF_investimento-respons-vel-no-setor-espacial.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,
qa007,2,cross_lingual,True,0.0,0.0,0.0,0.0,SWF_69d000e653a0667bf9cf7a6f-2020-global-counterspace-capabilities-an-open-source-assessme.pdf | SWF_69d0054fcf51801d46c919e7-2023-global-counterspace-capabilities-an-open-source-assessme.pdf | SWF_16-global-counterspace-capabilities-report-insight-counterspace-surge-2026.json,SWF_2025-executive-summary-spanish.pdf,,
qa008,2,numerico,True,0.0,0.5,0.3333333333333333,1.0,SWF_investimento-respons-vel-no-setor-espacial.pdf | AIINDEX_ai-index-2025-ch4-economy.pdf | AIINDEX_ai-index-2025-chinese-version.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,
qa009,2,estandar,True,0.3562071871080222,0.5,0.3333333333333333,1.0,SWF_8-2-2026-global-counterspace-capabilities-report.json | SWF_gcsr-2026-execsum-eng.pdf | SWF_global-counterspace-capabilities-an-open-source-assessment.json,SWF_gcsr-2026-execsum-eng.pdf,SWF_gcsr-2026-execsum-eng.pdf,
qa010,2,numerico,True,0.0,0.0,0.0,0.0,SWF_global-counterspace-capabilities-2025.pdf | SWF_global-counterspace-capabilities-2026-hr.pdf | SWF_gcsr-2026-execsum-spa.pdf,SWF_gcsr-2026-execsum-eng.pdf,,
qa011,3,estandar,True,1.0,0.5,0.3333333333333333,1.0,MAPPOEA_informe-semestral-36-mappoea-1.pdf | MAPPOEA_cp51877scp-1.pdf | MAPPOEA_cp51877ecp-1.pdf,MAPPOEA_informe-semestral-36-mappoea-1.pdf,MAPPOEA_informe-semestral-36-mappoea-1.pdf,
qa012,3,numerico,True,0.3903800499921017,0.5,0.3333333333333333,1.0,RESDAL_22-esp-nicaragua.pdf | RESDAL_13-esp-colombia.pdf | RESDAL_03-esp-elpresupuesto.pdf,RESDAL_13-esp-colombia.pdf,RESDAL_13-esp-colombia.pdf,
qa013,3,estandar,True,0.6131471927654584,0.5,0.3333333333333333,1.0,SIPRI_2025-autonomous-weapon-systems-and-ai-enabled-decision-support-systems-military-targeting-.json | SIPRI_2026-ai-chinese-indian-and-us-nuclear-postures-norms-and-systems.json | SIPRI_2025-navigating-green-geopolitics-perils-and-promise-energy-transition-and-case-ukraine.json,SIPRI_2025-autonomous-weapon-systems-and-ai-enabled-decision-support-systems-military-targeting-.json,SIPRI_2025-autonomous-weapon-systems-and-ai-enabled-decision-support-systems-military-targeting-.json,
qa014,3,cross_lingual,True,1.0,0.5,0.3333333333333333,1.0,SIPRI_pragmatic-approaches-to-governance-at-the-ai-nuclear-nexus.pdf | SIPRI_2025-bias-military-artificial-intelligence-and-compliance-international-humanitarian-law.json | SIPRI_20240212113627.pdf,SIPRI_2025-bias-military-artificial-intelligence-and-compliance-international-humanitarian-law.json,SIPRI_2025-bias-military-artificial-intelligence-and-compliance-international-humanitarian-law.json,
qa015,3,multi_documento,True,0.11284514134893527,0.4,0.3333333333333333,0.5,RESDAL_22-esp-nicaragua.pdf | RESDAL_atlas-2024-esp.pdf | RESDAL_03-esp-elpresupuesto.pdf,RESDAL_03-esp-elpresupuesto.pdf | RESDAL_13-esp-colombia.pdf,RESDAL_03-esp-elpresupuesto.pdf,
